gene.ensembl	gene.sym
ENSMUSG00000079737	3110001I22Rik
NA	3110002H16Rik
ENSMUSG00000026388	3110009E18Rik
ENSMUSG00000060375	3110018I06Rik
ENSMUSG00000094958	3110021N24Rik
NA	3110035E14Rik
ENSMUSG00000025102	3110040N11Rik
ENSMUSG00000028300	3110043O21Rik
NA	3110052M02Rik
ENSMUSG00000085642	3110053B16Rik
NA	3110062M04Rik
ENSMUSG00000081187	3110067C02Rik
ENSMUSG00000074635	3110070M22Rik
NA	3110079O15Rik
ENSMUSG00000053553	3110082I17Rik
ENSMUSG00000086815	3110082J24Rik
ENSMUSG00000063364	3300002I08Rik
ENSMUSG00000071540	3425401B19Rik
NA	3632451O06Rik
ENSMUSG00000031125	3830403N18Rik
ENSMUSG00000033111	3830406C13Rik
ENSMUSG00000071181	3830408C21Rik
ENSMUSG00000031179	3830417A13Rik
ENSMUSG00000064202	4430402I18Rik
ENSMUSG00000052779	4833418N17Rik
ENSMUSG00000062822	4833420G17Rik
ENSMUSG00000075217	4833423E24Rik
ENSMUSG00000032057	4833427G06Rik
ENSMUSG00000025871	4833439L19Rik
ENSMUSG00000023350	4921501E09Rik
ENSMUSG00000026734	4921504E06Rik
ENSMUSG00000029828	4921507P07Rik
ENSMUSG00000052376	4921508M14Rik
ENSMUSG00000061525	4921509C19Rik
ENSMUSG00000049815	4921511C20Rik
NA	4921511H03Rik
ENSMUSG00000094577	4921511M17Rik
null	4921513D11Rik
ENSMUSG00000044544	4921513I03Rik
ENSMUSG00000049902	4921517D22Rik
ENSMUSG00000036934	4921524J17Rik
ENSMUSG00000039540	4921524L21Rik
ENSMUSG00000064299	4921528I07Rik
ENSMUSG00000034689	4921530L21Rik
ENSMUSG00000020434	4921536K21Rik
ENSMUSG00000028520	4921539E11Rik
ENSMUSG00000047720	4922502D21Rik
ENSMUSG00000079421	4930402F06Rik
ENSMUSG00000027309	4930402H24Rik
ENSMUSG00000045797	4930402K13Rik
ENSMUSG00000079001	4930404H24Rik
ENSMUSG00000020234	4930404N11Rik
ENSMUSG00000075524	4930407I10Rik
