cell_name,frxn_cell.type_Path1.Term,frxn_cell.type_Path2.Term,frxn_cell.type_Path3.Term,Lagrangian,Error
Cell1692,0.348052744512608,0.343948854793892,0.3079984006935,1453.71530426383,4075.36613293782
Cell1757,0.0129221055618871,0.0345536325291108,0.952524261909002,1383.57198993395,3269.96188289329
Cell1783,0.0729345866059505,0.917044662391099,0.0100207510029508,1101.43752194147,3107.05982143736
Cell1796,0.341687170544451,0.337352868094646,0.320959961360903,1322.07897689159,3920.24279971135
Cell1834,0.00616263853154711,0.947199425583613,0.0466379358848398,1144.91325434963,3152.68926295762
Cell1858,0.0371850926626544,0.931967149452112,0.0308477578852341,1252.74050903088,3181.8615244735
Cell1871,0.364406397662788,0.298845915833573,0.336747686503639,1781.30978627832,4271.00388844952
Cell1894,0.345973561942097,0.3717949316934,0.282231506364504,902.432874420325,3359.96664289864
Cell1921,0.350001523110367,0.340622823088083,0.30937565380155,1596.44880737199,4111.14440415608
Cell1931,0.0515935492883673,0.891942567536797,0.0564638831748361,1179.99319688899,3388.84340230278
Cell1937,0.340137690099218,0.350880368248059,0.308981941652723,1511.5797226045,4047.51847099986
Cell1949,0.000177030171893265,-2.26159777236791e-18,0.999822969828107,1615.26796739146,3560.21059172399
Cell2032,0.0358594589917372,0.946072197588696,0.0180683434195663,1492.56789923467,3548.66558489653
Cell2043,0.338343677926523,0.368277477228083,0.293378844845394,1046.96131869135,3557.0828113329
Cell2044,0.345780366760539,0.325084769976048,0.329134863263414,1259.68431731993,3773.22022900532
Cell2125,0.342370192694922,0.373209796419365,0.284420010885713,1539.77249556533,4122.95330257616
Cell2152,0.0124330854388949,0.0206242108502038,0.966942703710901,1797.29664287425,3806.15139665155
Cell2158,0.361438587877759,0.345381832106037,0.293179580016204,1367.01912791879,3914.48549454614
Cell2243,0,0.971165337158463,0.0288346628415373,1389.98965629,3416.99608084181
Cell2308,0.0409433267619376,0.938335332250996,0.0207213409870666,1157.52338125258,3184.8570435101
Cell2321,0.342389435597196,0.340412079280439,0.317198485122365,1304.24726688412,3945.75254318298
Cell2352,0.333648263989152,0.356689454453001,0.309662281557847,1084.27597895277,3637.44787001567
Cell2359,0.369139751291233,0.331509715444574,0.299350533264193,924.389252946943,3502.96442092012
Cell2375,0.33534362700681,0.363901815551049,0.30075455744214,1108.36618481165,3720.61936588037
Cell2479,0.347891653921148,0.363203427608022,0.28890491847083,1618.82983461576,4199.04035123498
Cell2527,0.0488171104438723,0.951182889556128,0,1410.45807003084,3445.13917806303
Cell2543,0.00281972338386286,0.949602637791386,0.0475776388247517,1082.47499602955,3071.156303141
Cell2626,0.996665488047302,0,0.00333451195269797,1461.94669189596,3426.33447126433
Cell2653,0.357146361050377,0.320555769189176,0.322297869760447,1457.23755121334,4025.52126299916
Cell2672,-8.67361737988404e-19,1,-2.57098194603537e-18,1790.75434783976,3776.01305768842
Cell2692,0.320213382740075,0.355228187879058,0.324558429380867,1446.71698072379,3982.91171335879
Cell2743,0.980513744670165,0.00971434809890244,0.00977190723093231,1296.76758499132,3343.48443545054
Cell2759,0.375743929374013,0.325086643493525,0.299169427132462,1604.99773072107,4119.3061867908
Cell2951,0.0285494214294811,0.971450578570519,0,1220.73088848107,3125.17406171058
Cell3021,0.0450027959260261,0.917677020126608,0.0373201839473664,1082.30649483651,3127.02573112676
