cell_name,frxn_cell.type_BEC_DDC,frxn_cell.type_BEC_normal,frxn_cell.type_Dendritic cell.Fetal_liver,frxn_cell.type_Erythroblast_Hbb_bs high.Embryonic_Mesenchyme,frxn_cell.type_Erythroblast_Klf1 high.Fetal_liver,frxn_cell.type_Erythroid Cell.Embryonic_Mesenchyme,frxn_cell.type_Ganglion cell_Mapt high.Embryonic_Mesenchyme,frxn_cell.type_Hepatocyte_DDC,frxn_cell.type_Hepatocyte_normal,frxn_cell.type_Macrophage.Embryonic_Mesenchyme,frxn_cell.type_MEF.Trophoblast_Stem_Cell,frxn_cell.type_Muscle.Embryonic_Mesenchyme,frxn_cell.type_Neuron_Igfbpl1 high.Embryonic_Mesenchyme,frxn_cell.type_Neutrophil_Elane high.Fetal_liver,frxn_cell.type_Stem and progenitor cell.Fetal_liver,frxn_cell.type_Stromal Cell_Agtr2 high.Embryonic_Mesenchyme,frxn_cell.type_Stromal Cell_Cnmd high.Embryonic_Mesenchyme,frxn_cell.type_Stromal cell_Cxcl12 high.Embryonic_Mesenchyme,frxn_cell.type_Stromal Cell_Cxcl14 high.Embryonic_Mesenchyme,frxn_cell.type_Stromal Cell_fabp7 high.Embryonic_Mesenchyme,Lagrangian,Error
Cell_15,0.619045569583087,0.26022801073834,-1.0393940871656e-18,-1.37111937220198e-16,8.07842442009579e-17,0,-3.36605413437801e-17,0,1.41415547436023e-18,7.71187104710996e-17,-2.70451546469137e-17,1.42128883430516e-16,-6.19810094470549e-17,-2.415138258638e-16,-5.45847781924288e-17,-1.14838770914685e-16,4.65813775708363e-17,-1.38885734381295e-16,-7.26134818128372e-17,6.56280629869787e-17,0,935.474791329123
Cell_16,0.553367737556129,0.250929760679426,6.96002096080112e-17,-9.64026109407305e-17,6.48379064745196e-18,8.2884642755818e-17,2.71838452775259e-18,0,5.49432797253673e-17,4.59788885186222e-17,-1.66226124285996e-17,-9.69111377063714e-17,-1.12223138303888e-16,-2.79577411034397e-17,9.49682710698674e-17,2.90429985609381e-16,-1.94376776690711e-16,-1.303932972887e-16,7.16092723906248e-18,-5.62202303124783e-17,0,1080.56361277165
Cell_17,0.652770983401127,0.261372961547543,-3.25316594014775e-17,3.3811189084409e-18,-7.19670902869457e-18,0,-1.33856695058952e-16,1.87660608278023e-17,6.57684863681471e-19,-1.60811923034459e-18,-1.05360905749012e-18,-1.49175303597526e-17,0,-3.36484282540104e-17,-5.47729184882536e-17,2.25470538282591e-17,0,1.1224878990418e-17,6.28718586716858e-18,-1.90328974660671e-17,0,955.292820013627
Cell_18,0.682840790188378,0.162963392706214,5.99406866318695e-17,6.49743900450628e-17,8.68021266573005e-17,1.66322985582173e-17,0,0,3.66393125204634e-17,2.47394815919618e-17,5.01164573235325e-17,1.64622675383802e-18,5.6195045580992e-17,-6.60836035302128e-17,3.10286317534779e-17,2.25074156198177e-17,3.4934337952427e-17,-8.98976108027729e-18,-7.87772257614764e-17,0,0,1072.85034672934
Cell_19,0.838952080109612,1.55737275482909e-17,5.00057853500126e-17,0.0288314895107811,0,0.0148522690305563,1.98028220021033e-18,1.36341723347694e-18,0.0299856070033085,-1.39881970823801e-17,1.43894229322475e-17,-5.81436845834967e-18,-8.81452819792629e-17,-2.99697936795318e-18,3.19471206232828e-17,3.81575073416228e-17,1.33732275452871e-18,5.51046680021501e-17,-3.37365426897059e-20,-4.35001590648162e-17,0,932.034165231669
Cell_20,0.778065614434729,-3.7415140742224e-19,2.04887813616554e-17,1.60266053142875e-19,5.15581188993009e-18,0,-2.43433939664883e-18,-9.05190430303223e-19,0.0036311999420074,-1.76605444438595e-17,9.79578720978632e-18,-2.05280542987228e-18,1.22405354761167e-17,-2.62907133459807e-18,-4.32302397414155e-17,1.17822735747885e-16,4.35122618993371e-18,3.93837120574236e-17,-1.79725492006451e-17,2.15263816751454e-17,0,1038.37830714615
Cell_21,0.821197253557282,8.00716179973913e-18,4.98603045652038e-18,0.0260820290866669,0.0677194599597794,-1.2858113740285e-17,-9.31895324077157e-18,-3.29518713456865e-17,-1.01566017639286e-18,2.39574299790894e-17,0.0850012573962711,0,6.3468317722109e-17,-3.59614297540243e-18,2.53215391263893e-18,1.16274177730125e-16,1.7847712059726e-17,1.70358004989722e-16,6.34479491100091e-17,-3.51599312033897e-17,3.08497189710945,780.140412171999
Cell_22,0.871580699024544,0.0781862021466339,-1.15384402851125e-17,0.0186860370810445,-6.54663234273498e-19,-1.04113514195534e-19,-2.729288391029e-18,-6.24748970573996e-19,0.0248874728093413,1.62335309358954e-18,1.92347724506895e-18,-9.06176204787779e-19,-5.88128837108536e-19,1.50332617029643e-17,-2.16565739208441e-18,-1.35159028415025e-17,0,1.94821548948197e-17,-1.10148125386031e-17,-9.50592242169588e-18,0,766.670293085023
Cell_23,0.829909982536006,0.0394107300821676,-1.08300650721104e-17,3.12339433513829e-21,-3.58971581253316e-17,0,2.00786045157627e-17,0.00476361651020811,-3.71116837756258e-17,3.39868974215492e-17,-1.45590273251774e-17,-5.07103566986039e-17,0,-8.25982902330773e-18,-1.43590251978374e-18,-1.83550909359901e-18,-1.87131886707685e-17,-1.58998983225239e-17,-5.6761123161779e-18,7.6076174073623e-17,0,998.470635804344
Cell_24,0.776651833809779,0,1.00298573747221e-16,5.42888852934951e-17,-1.04176099383643e-17,-1.24598724140062e-18,5.72100595208843e-17,0,-7.43297995624248e-18,2.92520761579831e-17,4.82303329968246e-18,1.22590140507282e-16,1.01494295692909e-17,2.13308734586367e-17,-9.40173354323764e-19,-8.85997552892718e-18,-1.23372354165202e-17,1.64844005090711e-17,-2.68200802850826e-17,1.05414807215881e-17,0,1051.23765667612
