,orig.ident,nCount_RNA,nFeature_RNA,RNA_snn_res.0.8,seurat_clusters,pANN_0.25_0.09_205,DF.classifications_0.25_0.09_205,DF.classifications_0.25_0.09_179,pANN_0.25_0.09_149,DF.classifications_0.25_0.09_149,DF.classifications_0.25_0.09_130
Cell_716,Cell,2164,918,2,2,0.219512195121951,Singlet,Singlet,0.219512195121951,Singlet,Singlet
Cell_717,Cell,1048,624,6,6,0.13719512195122,Singlet,Singlet,0.13719512195122,Singlet,Singlet
Cell_718,Cell,412,303,4,4,0.0121951219512195,Singlet,Singlet,0.0121951219512195,Singlet,Singlet
Cell_719,Cell,4123,1340,5,5,0.277439024390244,Singlet,Singlet,0.277439024390244,Singlet,Singlet
Cell_720,Cell,675,461,6,6,0.0945121951219512,Singlet,Singlet,0.0945121951219512,Singlet,Singlet
Cell_721,Cell,3217,1167,0,0,0.341463414634146,Singlet,Singlet,0.341463414634146,Singlet,Singlet
Cell_722,Cell,3663,1217,0,0,0.353658536585366,Doublet,Doublet,0.353658536585366,Singlet,Singlet
Cell_723,Cell,681,455,6,6,0.0701219512195122,Singlet,Singlet,0.0701219512195122,Singlet,Singlet
Cell_724,Cell,2522,1079,3,3,0.204268292682927,Singlet,Singlet,0.204268292682927,Singlet,Singlet
Cell_725,Cell,1176,633,2,2,0.103658536585366,Singlet,Singlet,0.103658536585366,Singlet,Singlet
Cell_726,Cell,3155,1163,5,5,0.195121951219512,Singlet,Singlet,0.195121951219512,Singlet,Singlet
Cell_727,Cell,5736,1556,5,5,0.341463414634146,Singlet,Singlet,0.341463414634146,Singlet,Singlet
Cell_728,Cell,1181,687,7,7,0.219512195121951,Singlet,Singlet,0.219512195121951,Singlet,Singlet
Cell_729,Cell,2478,1005,3,3,0.146341463414634,Singlet,Singlet,0.146341463414634,Singlet,Singlet
Cell_730,Cell,4042,1322,1,1,0.231707317073171,Singlet,Singlet,0.231707317073171,Singlet,Singlet
Cell_731,Cell,2770,1136,1,1,0.185975609756098,Singlet,Singlet,0.185975609756098,Singlet,Singlet
Cell_732,Cell,3102,1102,0,0,0.286585365853659,Singlet,Singlet,0.286585365853659,Singlet,Singlet
Cell_733,Cell,4804,1414,5,5,0.280487804878049,Singlet,Singlet,0.280487804878049,Singlet,Singlet
Cell_734,Cell,3916,1307,5,5,0.26219512195122,Singlet,Singlet,0.26219512195122,Singlet,Singlet
Cell_735,Cell,1491,726,2,2,0.155487804878049,Singlet,Singlet,0.155487804878049,Singlet,Singlet
Cell_736,Cell,1718,787,2,2,0.125,Singlet,Singlet,0.125,Singlet,Singlet
Cell_737,Cell,387,302,4,4,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_738,Cell,2834,1014,2,2,0.213414634146341,Singlet,Singlet,0.213414634146341,Singlet,Singlet
Cell_739,Cell,3777,1298,2,2,0.350609756097561,Doublet,Singlet,0.350609756097561,Singlet,Singlet
Cell_740,Cell,1913,883,7,7,0.25,Singlet,Singlet,0.25,Singlet,Singlet
Cell_741,Cell,6223,1558,5,5,0.295731707317073,Singlet,Singlet,0.295731707317073,Singlet,Singlet
Cell_742,Cell,2476,974,0,0,0.23780487804878,Singlet,Singlet,0.23780487804878,Singlet,Singlet
Cell_743,Cell,953,619,6,6,0.167682926829268,Singlet,Singlet,0.167682926829268,Singlet,Singlet
Cell_744,Cell,1224,633,7,7,0.0487804878048781,Singlet,Singlet,0.0487804878048781,Singlet,Singlet
Cell_745,Cell,1452,706,0,0,0.0670731707317073,Singlet,Singlet,0.0670731707317073,Singlet,Singlet
Cell_746,Cell,1182,584,2,2,0.0335365853658537,Singlet,Singlet,0.0335365853658537,Singlet,Singlet
Cell_747,Cell,2373,996,3,3,0.164634146341463,Singlet,Singlet,0.164634146341463,Singlet,Singlet
Cell_748,Cell,2370,991,0,0,0.228658536585366,Singlet,Singlet,0.228658536585366,Singlet,Singlet
Cell_749,Cell,687,397,2,2,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_750,Cell,1672,813,3,3,0.0914634146341463,Singlet,Singlet,0.0914634146341463,Singlet,Singlet
Cell_751,Cell,3583,1258,5,5,0.222560975609756,Singlet,Singlet,0.222560975609756,Singlet,Singlet
Cell_752,Cell,1827,858,0,0,0.143292682926829,Singlet,Singlet,0.143292682926829,Singlet,Singlet
Cell_753,Cell,3113,1144,0,0,0.274390243902439,Singlet,Singlet,0.274390243902439,Singlet,Singlet
Cell_754,Cell,1488,789,0,0,0.198170731707317,Singlet,Singlet,0.198170731707317,Singlet,Singlet
Cell_755,Cell,1795,873,3,3,0.143292682926829,Singlet,Singlet,0.143292682926829,Singlet,Singlet
Cell_756,Cell,1822,876,7,7,0.219512195121951,Singlet,Singlet,0.219512195121951,Singlet,Singlet
Cell_757,Cell,403,303,4,4,0.0121951219512195,Singlet,Singlet,0.0121951219512195,Singlet,Singlet
Cell_758,Cell,1907,822,2,2,0.121951219512195,Singlet,Singlet,0.121951219512195,Singlet,Singlet
Cell_759,Cell,719,468,4,4,0.0487804878048781,Singlet,Singlet,0.0487804878048781,Singlet,Singlet
Cell_760,Cell,1976,841,2,2,0.167682926829268,Singlet,Singlet,0.167682926829268,Singlet,Singlet
Cell_761,Cell,2920,1148,2,2,0.338414634146341,Singlet,Singlet,0.338414634146341,Singlet,Singlet
Cell_762,Cell,851,502,6,6,0.0609756097560976,Singlet,Singlet,0.0609756097560976,Singlet,Singlet
Cell_763,Cell,841,538,4,4,0.0548780487804878,Singlet,Singlet,0.0548780487804878,Singlet,Singlet
Cell_764,Cell,1563,744,0,0,0.11280487804878,Singlet,Singlet,0.11280487804878,Singlet,Singlet
Cell_765,Cell,1839,832,2,2,0.173780487804878,Singlet,Singlet,0.173780487804878,Singlet,Singlet
Cell_766,Cell,1827,784,2,2,0.106707317073171,Singlet,Singlet,0.106707317073171,Singlet,Singlet
Cell_767,Cell,2308,983,0,0,0.225609756097561,Singlet,Singlet,0.225609756097561,Singlet,Singlet
Cell_768,Cell,1809,824,0,0,0.0975609756097561,Singlet,Singlet,0.0975609756097561,Singlet,Singlet
Cell_769,Cell,2515,1037,1,1,0.140243902439024,Singlet,Singlet,0.140243902439024,Singlet,Singlet
Cell_770,Cell,886,548,4,4,0.0548780487804878,Singlet,Singlet,0.0548780487804878,Singlet,Singlet
Cell_771,Cell,477,345,4,4,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
Cell_772,Cell,2363,970,7,7,0.274390243902439,Singlet,Singlet,0.274390243902439,Singlet,Singlet
Cell_773,Cell,2214,911,0,0,0.173780487804878,Singlet,Singlet,0.173780487804878,Singlet,Singlet
Cell_774,Cell,2973,1034,2,2,0.176829268292683,Singlet,Singlet,0.176829268292683,Singlet,Singlet
Cell_775,Cell,6542,1627,5,5,0.286585365853659,Singlet,Singlet,0.286585365853659,Singlet,Singlet
Cell_776,Cell,4442,1339,5,5,0.210365853658537,Singlet,Singlet,0.210365853658537,Singlet,Singlet
Cell_777,Cell,4194,1259,1,1,0.189024390243902,Singlet,Singlet,0.189024390243902,Singlet,Singlet
Cell_778,Cell,3732,1248,1,1,0.179878048780488,Singlet,Singlet,0.179878048780488,Singlet,Singlet
Cell_779,Cell,2677,1060,3,3,0.152439024390244,Singlet,Singlet,0.152439024390244,Singlet,Singlet
Cell_780,Cell,3681,1252,5,5,0.182926829268293,Singlet,Singlet,0.182926829268293,Singlet,Singlet
Cell_781,Cell,1998,859,7,7,0.185975609756098,Singlet,Singlet,0.185975609756098,Singlet,Singlet
Cell_782,Cell,2065,866,0,0,0.103658536585366,Singlet,Singlet,0.103658536585366,Singlet,Singlet
Cell_783,Cell,2174,913,0,0,0.216463414634146,Singlet,Singlet,0.216463414634146,Singlet,Singlet
Cell_784,Cell,1992,871,2,2,0.182926829268293,Singlet,Singlet,0.182926829268293,Singlet,Singlet
Cell_785,Cell,3092,1160,5,5,0.167682926829268,Singlet,Singlet,0.167682926829268,Singlet,Singlet
Cell_786,Cell,4014,1357,1,1,0.298780487804878,Singlet,Singlet,0.298780487804878,Singlet,Singlet
Cell_787,Cell,2676,1041,0,0,0.277439024390244,Singlet,Singlet,0.277439024390244,Singlet,Singlet
Cell_788,Cell,2736,1072,0,0,0.320121951219512,Singlet,Singlet,0.320121951219512,Singlet,Singlet
Cell_789,Cell,2445,986,0,0,0.26219512195122,Singlet,Singlet,0.26219512195122,Singlet,Singlet
Cell_790,Cell,2019,909,0,0,0.216463414634146,Singlet,Singlet,0.216463414634146,Singlet,Singlet
Cell_791,Cell,1648,834,2,2,0.307926829268293,Singlet,Singlet,0.307926829268293,Singlet,Singlet
Cell_792,Cell,5273,1488,5,5,0.310975609756098,Singlet,Singlet,0.310975609756098,Singlet,Singlet
Cell_793,Cell,1380,760,6,6,0.24390243902439,Singlet,Singlet,0.24390243902439,Singlet,Singlet
Cell_794,Cell,1369,708,2,2,0.143292682926829,Singlet,Singlet,0.143292682926829,Singlet,Singlet
Cell_795,Cell,2550,1058,0,0,0.246951219512195,Singlet,Singlet,0.246951219512195,Singlet,Singlet
Cell_796,Cell,1319,728,7,7,0.204268292682927,Singlet,Singlet,0.204268292682927,Singlet,Singlet
Cell_797,Cell,1267,709,6,6,0.179878048780488,Singlet,Singlet,0.179878048780488,Singlet,Singlet
Cell_798,Cell,2524,1070,3,3,0.231707317073171,Singlet,Singlet,0.231707317073171,Singlet,Singlet
Cell_799,Cell,2322,979,0,0,0.274390243902439,Singlet,Singlet,0.274390243902439,Singlet,Singlet
Cell_800,Cell,332,244,4,4,0.00914634146341463,Singlet,Singlet,0.00914634146341463,Singlet,Singlet
Cell_801,Cell,458,267,9,9,0.0335365853658537,Singlet,Singlet,0.0335365853658537,Singlet,Singlet
Cell_802,Cell,3610,1210,5,5,0.216463414634146,Singlet,Singlet,0.216463414634146,Singlet,Singlet
Cell_803,Cell,2104,916,0,0,0.182926829268293,Singlet,Singlet,0.182926829268293,Singlet,Singlet
Cell_804,Cell,1055,590,7,7,0.0426829268292683,Singlet,Singlet,0.0426829268292683,Singlet,Singlet
Cell_805,Cell,1385,748,6,6,0.219512195121951,Singlet,Singlet,0.219512195121951,Singlet,Singlet
Cell_806,Cell,2419,1007,7,7,0.317073170731707,Singlet,Singlet,0.317073170731707,Singlet,Singlet
Cell_807,Cell,2071,947,3,3,0.158536585365854,Singlet,Singlet,0.158536585365854,Singlet,Singlet
Cell_808,Cell,1184,669,7,7,0.11280487804878,Singlet,Singlet,0.11280487804878,Singlet,Singlet
Cell_809,Cell,3030,1132,1,1,0.164634146341463,Singlet,Singlet,0.164634146341463,Singlet,Singlet
Cell_810,Cell,832,491,6,6,0.0579268292682927,Singlet,Singlet,0.0579268292682927,Singlet,Singlet
Cell_811,Cell,1858,840,0,0,0.185975609756098,Singlet,Singlet,0.185975609756098,Singlet,Singlet
Cell_812,Cell,1689,793,7,7,0.204268292682927,Singlet,Singlet,0.204268292682927,Singlet,Singlet
Cell_813,Cell,4229,1345,5,5,0.286585365853659,Singlet,Singlet,0.286585365853659,Singlet,Singlet
Cell_814,Cell,2526,1023,1,1,0.13719512195122,Singlet,Singlet,0.13719512195122,Singlet,Singlet
Cell_815,Cell,1551,715,2,2,0.103658536585366,Singlet,Singlet,0.103658536585366,Singlet,Singlet
Cell_816,Cell,2123,937,1,1,0.13719512195122,Singlet,Singlet,0.13719512195122,Singlet,Singlet
Cell_817,Cell,1732,830,3,3,0.11280487804878,Singlet,Singlet,0.11280487804878,Singlet,Singlet
Cell_818,Cell,3289,1174,5,5,0.179878048780488,Singlet,Singlet,0.179878048780488,Singlet,Singlet
Cell_819,Cell,1234,675,3,3,0.0884146341463415,Singlet,Singlet,0.0884146341463415,Singlet,Singlet
Cell_820,Cell,1368,735,7,7,0.125,Singlet,Singlet,0.125,Singlet,Singlet
Cell_821,Cell,2384,1026,0,0,0.292682926829268,Singlet,Singlet,0.292682926829268,Singlet,Singlet
Cell_822,Cell,1060,563,7,7,0.0609756097560976,Singlet,Singlet,0.0609756097560976,Singlet,Singlet
Cell_823,Cell,430,307,4,4,0.024390243902439,Singlet,Singlet,0.024390243902439,Singlet,Singlet
Cell_824,Cell,2081,881,2,2,0.164634146341463,Singlet,Singlet,0.164634146341463,Singlet,Singlet
Cell_825,Cell,2324,955,0,0,0.253048780487805,Singlet,Singlet,0.253048780487805,Singlet,Singlet
Cell_826,Cell,325,237,4,4,0.00914634146341463,Singlet,Singlet,0.00914634146341463,Singlet,Singlet
Cell_827,Cell,3829,1259,1,1,0.225609756097561,Singlet,Singlet,0.225609756097561,Singlet,Singlet
Cell_828,Cell,2684,1055,0,0,0.317073170731707,Singlet,Singlet,0.317073170731707,Singlet,Singlet
Cell_829,Cell,381,273,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_830,Cell,2213,956,1,1,0.106707317073171,Singlet,Singlet,0.106707317073171,Singlet,Singlet
Cell_831,Cell,535,335,6,6,0.00609756097560976,Singlet,Singlet,0.00609756097560976,Singlet,Singlet
Cell_832,Cell,2056,852,2,2,0.121951219512195,Singlet,Singlet,0.121951219512195,Singlet,Singlet
Cell_833,Cell,3390,1201,5,5,0.207317073170732,Singlet,Singlet,0.207317073170732,Singlet,Singlet
Cell_834,Cell,1561,788,7,7,0.182926829268293,Singlet,Singlet,0.182926829268293,Singlet,Singlet
Cell_835,Cell,1427,702,2,2,0.0853658536585366,Singlet,Singlet,0.0853658536585366,Singlet,Singlet
Cell_836,Cell,1306,702,3,3,0.103658536585366,Singlet,Singlet,0.103658536585366,Singlet,Singlet
Cell_837,Cell,2734,1051,1,1,0.140243902439024,Singlet,Singlet,0.140243902439024,Singlet,Singlet
Cell_838,Cell,2498,1000,1,1,0.11280487804878,Singlet,Singlet,0.11280487804878,Singlet,Singlet
Cell_839,Cell,3250,1161,1,1,0.143292682926829,Singlet,Singlet,0.143292682926829,Singlet,Singlet
Cell_840,Cell,1028,630,6,6,0.167682926829268,Singlet,Singlet,0.167682926829268,Singlet,Singlet
Cell_841,Cell,2919,1134,5,5,0.189024390243902,Singlet,Singlet,0.189024390243902,Singlet,Singlet
Cell_842,Cell,4272,1391,5,5,0.253048780487805,Singlet,Singlet,0.253048780487805,Singlet,Singlet
Cell_843,Cell,1199,604,0,0,0.0335365853658537,Singlet,Singlet,0.0335365853658537,Singlet,Singlet
Cell_844,Cell,430,280,4,4,0.00609756097560976,Singlet,Singlet,0.00609756097560976,Singlet,Singlet
Cell_845,Cell,1338,696,3,3,0.0762195121951219,Singlet,Singlet,0.0762195121951219,Singlet,Singlet
Cell_846,Cell,2153,960,0,0,0.234756097560976,Singlet,Singlet,0.234756097560976,Singlet,Singlet
Cell_847,Cell,376,272,4,4,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
Cell_848,Cell,4611,1391,1,1,0.253048780487805,Singlet,Singlet,0.253048780487805,Singlet,Singlet
Cell_849,Cell,5117,1433,1,1,0.280487804878049,Singlet,Singlet,0.280487804878049,Singlet,Singlet
Cell_850,Cell,2476,986,0,0,0.201219512195122,Singlet,Singlet,0.201219512195122,Singlet,Singlet
Cell_851,Cell,1189,661,6,6,0.152439024390244,Singlet,Singlet,0.152439024390244,Singlet,Singlet
Cell_852,Cell,565,351,4,4,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_853,Cell,2666,1049,3,3,0.140243902439024,Singlet,Singlet,0.140243902439024,Singlet,Singlet
Cell_854,Cell,1781,848,3,3,0.149390243902439,Singlet,Singlet,0.149390243902439,Singlet,Singlet
Cell_855,Cell,966,558,9,9,0.106707317073171,Singlet,Singlet,0.106707317073171,Singlet,Singlet
Cell_856,Cell,2921,1139,1,1,0.13109756097561,Singlet,Singlet,0.13109756097561,Singlet,Singlet
Cell_857,Cell,733,422,2,2,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_858,Cell,2843,1065,1,1,0.146341463414634,Singlet,Singlet,0.146341463414634,Singlet,Singlet
Cell_859,Cell,3511,1215,1,1,0.201219512195122,Singlet,Singlet,0.201219512195122,Singlet,Singlet
Cell_860,Cell,3068,1081,2,2,0.271341463414634,Singlet,Singlet,0.271341463414634,Singlet,Singlet
Cell_861,Cell,2253,893,2,2,0.170731707317073,Singlet,Singlet,0.170731707317073,Singlet,Singlet
Cell_862,Cell,4392,1374,0,0,0.439024390243902,Doublet,Doublet,0.439024390243902,Doublet,Doublet
Cell_863,Cell,2572,959,0,0,0.179878048780488,Singlet,Singlet,0.179878048780488,Singlet,Singlet
Cell_864,Cell,2460,963,0,0,0.155487804878049,Singlet,Singlet,0.155487804878049,Singlet,Singlet
Cell_865,Cell,1553,716,7,7,0.0640243902439024,Singlet,Singlet,0.0640243902439024,Singlet,Singlet
Cell_866,Cell,2422,1036,3,3,0.13109756097561,Singlet,Singlet,0.13109756097561,Singlet,Singlet
Cell_867,Cell,590,411,4,4,0.0304878048780488,Singlet,Singlet,0.0304878048780488,Singlet,Singlet
Cell_868,Cell,2522,1067,3,3,0.182926829268293,Singlet,Singlet,0.182926829268293,Singlet,Singlet
Cell_869,Cell,3194,1169,1,1,0.195121951219512,Singlet,Singlet,0.195121951219512,Singlet,Singlet
Cell_870,Cell,485,324,4,4,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_871,Cell,3065,1101,1,1,0.182926829268293,Singlet,Singlet,0.182926829268293,Singlet,Singlet
Cell_872,Cell,4259,1318,0,0,0.350609756097561,Doublet,Singlet,0.350609756097561,Singlet,Singlet
Cell_873,Cell,4199,1281,1,1,0.195121951219512,Singlet,Singlet,0.195121951219512,Singlet,Singlet
Cell_874,Cell,1461,748,2,2,0.149390243902439,Singlet,Singlet,0.149390243902439,Singlet,Singlet
Cell_875,Cell,3647,1316,0,0,0.481707317073171,Doublet,Doublet,0.481707317073171,Doublet,Doublet
Cell_876,Cell,1927,914,3,3,0.11890243902439,Singlet,Singlet,0.11890243902439,Singlet,Singlet
Cell_877,Cell,7140,1816,0,0,0.475609756097561,Doublet,Doublet,0.475609756097561,Doublet,Doublet
Cell_878,Cell,1367,728,3,3,0.170731707317073,Singlet,Singlet,0.170731707317073,Singlet,Singlet
Cell_879,Cell,1358,781,7,7,0.213414634146341,Singlet,Singlet,0.213414634146341,Singlet,Singlet
Cell_880,Cell,3416,1282,5,5,0.341463414634146,Singlet,Singlet,0.341463414634146,Singlet,Singlet
Cell_881,Cell,1377,746,3,3,0.0884146341463415,Singlet,Singlet,0.0884146341463415,Singlet,Singlet
Cell_882,Cell,2343,1004,1,1,0.121951219512195,Singlet,Singlet,0.121951219512195,Singlet,Singlet
Cell_883,Cell,4201,1387,1,1,0.274390243902439,Singlet,Singlet,0.274390243902439,Singlet,Singlet
Cell_884,Cell,2847,1115,0,0,0.365853658536585,Doublet,Doublet,0.365853658536585,Doublet,Doublet
Cell_885,Cell,2021,968,6,6,0.301829268292683,Singlet,Singlet,0.301829268292683,Singlet,Singlet
Cell_886,Cell,418,313,4,4,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
Cell_887,Cell,1761,798,0,0,0.0945121951219512,Singlet,Singlet,0.0945121951219512,Singlet,Singlet
Cell_888,Cell,2184,987,0,0,0.356707317073171,Doublet,Doublet,0.356707317073171,Singlet,Singlet
Cell_889,Cell,3142,1194,0,0,0.365853658536585,Doublet,Doublet,0.365853658536585,Doublet,Doublet
Cell_890,Cell,460,305,8,8,0.0548780487804878,Singlet,Singlet,0.0548780487804878,Singlet,Singlet
Cell_891,Cell,666,443,6,6,0.0457317073170732,Singlet,Singlet,0.0457317073170732,Singlet,Singlet
Cell_892,Cell,871,563,6,6,0.121951219512195,Singlet,Singlet,0.121951219512195,Singlet,Singlet
Cell_893,Cell,1826,859,3,3,0.109756097560976,Singlet,Singlet,0.109756097560976,Singlet,Singlet
Cell_894,Cell,1790,778,2,2,0.0975609756097561,Singlet,Singlet,0.0975609756097561,Singlet,Singlet
Cell_895,Cell,1565,749,0,0,0.100609756097561,Singlet,Singlet,0.100609756097561,Singlet,Singlet
Cell_896,Cell,1987,876,2,2,0.234756097560976,Singlet,Singlet,0.234756097560976,Singlet,Singlet
Cell_897,Cell,2751,1096,1,1,0.140243902439024,Singlet,Singlet,0.140243902439024,Singlet,Singlet
Cell_898,Cell,3806,1299,5,5,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_899,Cell,2182,976,0,0,0.347560975609756,Doublet,Singlet,0.347560975609756,Singlet,Singlet
Cell_900,Cell,1477,768,3,3,0.125,Singlet,Singlet,0.125,Singlet,Singlet
Cell_901,Cell,1519,776,1,1,0.0731707317073171,Singlet,Singlet,0.0731707317073171,Singlet,Singlet
Cell_902,Cell,4369,1391,5,5,0.286585365853659,Singlet,Singlet,0.286585365853659,Singlet,Singlet
Cell_903,Cell,2355,953,2,2,0.182926829268293,Singlet,Singlet,0.182926829268293,Singlet,Singlet
Cell_904,Cell,1400,783,6,6,0.271341463414634,Singlet,Singlet,0.271341463414634,Singlet,Singlet
Cell_905,Cell,363,271,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_906,Cell,315,245,4,4,0.0121951219512195,Singlet,Singlet,0.0121951219512195,Singlet,Singlet
Cell_907,Cell,451,336,4,4,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
Cell_908,Cell,1687,761,2,2,0.134146341463415,Singlet,Singlet,0.134146341463415,Singlet,Singlet
Cell_909,Cell,1523,780,3,3,0.185975609756098,Singlet,Singlet,0.185975609756098,Singlet,Singlet
Cell_910,Cell,1899,877,0,0,0.192073170731707,Singlet,Singlet,0.192073170731707,Singlet,Singlet
Cell_911,Cell,1030,589,6,6,0.0701219512195122,Singlet,Singlet,0.0701219512195122,Singlet,Singlet
Cell_912,Cell,1547,742,0,0,0.0853658536585366,Singlet,Singlet,0.0853658536585366,Singlet,Singlet
Cell_913,Cell,3706,1290,5,5,0.25609756097561,Singlet,Singlet,0.25609756097561,Singlet,Singlet
Cell_914,Cell,2486,983,2,2,0.158536585365854,Singlet,Singlet,0.158536585365854,Singlet,Singlet
Cell_915,Cell,2316,998,0,0,0.286585365853659,Singlet,Singlet,0.286585365853659,Singlet,Singlet
Cell_916,Cell,1709,787,0,0,0.0701219512195122,Singlet,Singlet,0.0701219512195122,Singlet,Singlet
Cell_917,Cell,4902,1459,5,5,0.310975609756098,Singlet,Singlet,0.310975609756098,Singlet,Singlet
Cell_918,Cell,2105,892,0,0,0.201219512195122,Singlet,Singlet,0.201219512195122,Singlet,Singlet
Cell_919,Cell,2050,848,2,2,0.161585365853659,Singlet,Singlet,0.161585365853659,Singlet,Singlet
Cell_920,Cell,5111,1453,5,5,0.234756097560976,Singlet,Singlet,0.234756097560976,Singlet,Singlet
Cell_921,Cell,1295,582,6,6,0.0579268292682927,Singlet,Singlet,0.0579268292682927,Singlet,Singlet
Cell_922,Cell,304,233,4,4,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
Cell_923,Cell,379,276,4,4,0.0152439024390244,Singlet,Singlet,0.0152439024390244,Singlet,Singlet
Cell_924,Cell,3047,1124,1,1,0.161585365853659,Singlet,Singlet,0.161585365853659,Singlet,Singlet
Cell_925,Cell,1646,740,2,2,0.0884146341463415,Singlet,Singlet,0.0884146341463415,Singlet,Singlet
Cell_926,Cell,3518,1195,1,1,0.167682926829268,Singlet,Singlet,0.167682926829268,Singlet,Singlet
Cell_927,Cell,2511,1015,1,1,0.158536585365854,Singlet,Singlet,0.158536585365854,Singlet,Singlet
Cell_928,Cell,1658,774,0,0,0.11890243902439,Singlet,Singlet,0.11890243902439,Singlet,Singlet
Cell_929,Cell,537,359,4,4,0.0335365853658537,Singlet,Singlet,0.0335365853658537,Singlet,Singlet
Cell_930,Cell,1839,809,0,0,0.13109756097561,Singlet,Singlet,0.13109756097561,Singlet,Singlet
Cell_931,Cell,1322,689,6,6,0.0914634146341463,Singlet,Singlet,0.0914634146341463,Singlet,Singlet
Cell_932,Cell,1704,780,7,7,0.167682926829268,Singlet,Singlet,0.167682926829268,Singlet,Singlet
Cell_933,Cell,4418,1331,1,1,0.231707317073171,Singlet,Singlet,0.231707317073171,Singlet,Singlet
Cell_934,Cell,3468,1180,1,1,0.170731707317073,Singlet,Singlet,0.170731707317073,Singlet,Singlet
Cell_935,Cell,5677,1457,5,5,0.253048780487805,Singlet,Singlet,0.253048780487805,Singlet,Singlet
Cell_936,Cell,2899,1103,0,0,0.271341463414634,Singlet,Singlet,0.271341463414634,Singlet,Singlet
Cell_937,Cell,2461,925,2,2,0.170731707317073,Singlet,Singlet,0.170731707317073,Singlet,Singlet
Cell_938,Cell,1583,793,2,2,0.149390243902439,Singlet,Singlet,0.149390243902439,Singlet,Singlet
Cell_939,Cell,3118,1166,5,5,0.192073170731707,Singlet,Singlet,0.192073170731707,Singlet,Singlet
Cell_940,Cell,622,383,9,9,0.0792682926829268,Singlet,Singlet,0.0792682926829268,Singlet,Singlet
Cell_941,Cell,4464,1373,5,5,0.207317073170732,Singlet,Singlet,0.207317073170732,Singlet,Singlet
Cell_942,Cell,1610,771,7,7,0.173780487804878,Singlet,Singlet,0.173780487804878,Singlet,Singlet
Cell_943,Cell,2716,1096,1,1,0.192073170731707,Singlet,Singlet,0.192073170731707,Singlet,Singlet
Cell_944,Cell,4763,1374,1,1,0.234756097560976,Singlet,Singlet,0.234756097560976,Singlet,Singlet
Cell_945,Cell,1947,771,2,2,0.103658536585366,Singlet,Singlet,0.103658536585366,Singlet,Singlet
Cell_946,Cell,2238,940,2,2,0.182926829268293,Singlet,Singlet,0.182926829268293,Singlet,Singlet
Cell_947,Cell,1416,743,3,3,0.0945121951219512,Singlet,Singlet,0.0945121951219512,Singlet,Singlet
Cell_948,Cell,3670,1260,5,5,0.24390243902439,Singlet,Singlet,0.24390243902439,Singlet,Singlet
Cell_949,Cell,2613,1007,7,7,0.207317073170732,Singlet,Singlet,0.207317073170732,Singlet,Singlet
Cell_950,Cell,3170,1123,2,2,0.259146341463415,Singlet,Singlet,0.259146341463415,Singlet,Singlet
Cell_951,Cell,5090,1433,5,5,0.277439024390244,Singlet,Singlet,0.277439024390244,Singlet,Singlet
Cell_952,Cell,917,573,4,4,0.0823170731707317,Singlet,Singlet,0.0823170731707317,Singlet,Singlet
Cell_953,Cell,2747,1021,3,3,0.11280487804878,Singlet,Singlet,0.11280487804878,Singlet,Singlet
Cell_954,Cell,3611,1154,0,0,0.216463414634146,Singlet,Singlet,0.216463414634146,Singlet,Singlet
Cell_955,Cell,2292,971,1,1,0.0914634146341463,Singlet,Singlet,0.0914634146341463,Singlet,Singlet
Cell_956,Cell,2157,966,3,3,0.173780487804878,Singlet,Singlet,0.173780487804878,Singlet,Singlet
Cell_957,Cell,4043,1305,1,1,0.228658536585366,Singlet,Singlet,0.228658536585366,Singlet,Singlet
Cell_958,Cell,2384,945,1,1,0.167682926829268,Singlet,Singlet,0.167682926829268,Singlet,Singlet
Cell_959,Cell,488,324,4,4,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
Cell_960,Cell,2858,1039,2,2,0.246951219512195,Singlet,Singlet,0.246951219512195,Singlet,Singlet
Cell_961,Cell,315,231,8,8,0.0518292682926829,Singlet,Singlet,0.0518292682926829,Singlet,Singlet
Cell_962,Cell,677,434,6,6,0.024390243902439,Singlet,Singlet,0.024390243902439,Singlet,Singlet
Cell_963,Cell,5450,1454,5,5,0.222560975609756,Singlet,Singlet,0.222560975609756,Singlet,Singlet
Cell_964,Cell,5179,1413,1,1,0.26219512195122,Singlet,Singlet,0.26219512195122,Singlet,Singlet
