,orig.ident,nCount_RNA,nFeature_RNA,RNA_snn_res.0.8,seurat_clusters,pANN_0.25_0.09_205,DF.classifications_0.25_0.09_205,DF.classifications_0.25_0.09_179,pANN_0.25_0.09_149,DF.classifications_0.25_0.09_149,DF.classifications_0.25_0.09_130
Cell_1468,Cell,2625,1087,2,2,0.36890243902439,Doublet,Doublet,0.36890243902439,Doublet,Doublet
Cell_1469,Cell,1552,754,7,7,0.11890243902439,Singlet,Singlet,0.11890243902439,Singlet,Singlet
Cell_1470,Cell,1263,640,2,2,0.0914634146341463,Singlet,Singlet,0.0914634146341463,Singlet,Singlet
Cell_1471,Cell,802,528,3,3,0.0518292682926829,Singlet,Singlet,0.0518292682926829,Singlet,Singlet
Cell_1472,Cell,1580,825,3,3,0.155487804878049,Singlet,Singlet,0.155487804878049,Singlet,Singlet
Cell_1473,Cell,347,256,4,4,0.00914634146341463,Singlet,Singlet,0.00914634146341463,Singlet,Singlet
Cell_1474,Cell,817,513,6,6,0.0823170731707317,Singlet,Singlet,0.0823170731707317,Singlet,Singlet
Cell_1475,Cell,598,387,6,6,0.0213414634146341,Singlet,Singlet,0.0213414634146341,Singlet,Singlet
Cell_1476,Cell,2391,1001,3,3,0.128048780487805,Singlet,Singlet,0.128048780487805,Singlet,Singlet
Cell_1477,Cell,565,322,2,2,0.0121951219512195,Singlet,Singlet,0.0121951219512195,Singlet,Singlet
Cell_1478,Cell,1768,888,3,3,0.152439024390244,Singlet,Singlet,0.152439024390244,Singlet,Singlet
Cell_1479,Cell,1632,810,0,0,0.115853658536585,Singlet,Singlet,0.115853658536585,Singlet,Singlet
Cell_1480,Cell,4673,1442,5,5,0.307926829268293,Singlet,Singlet,0.307926829268293,Singlet,Singlet
Cell_1481,Cell,3389,1232,0,0,0.359756097560976,Doublet,Doublet,0.359756097560976,Singlet,Singlet
Cell_1482,Cell,716,456,3,3,0.109756097560976,Singlet,Singlet,0.109756097560976,Singlet,Singlet
Cell_1483,Cell,2183,908,0,0,0.173780487804878,Singlet,Singlet,0.173780487804878,Singlet,Singlet
Cell_1484,Cell,748,481,6,6,0.0609756097560976,Singlet,Singlet,0.0609756097560976,Singlet,Singlet
Cell_1485,Cell,970,564,1,1,0.0670731707317073,Singlet,Singlet,0.0670731707317073,Singlet,Singlet
Cell_1486,Cell,795,508,6,6,0.0853658536585366,Singlet,Singlet,0.0853658536585366,Singlet,Singlet
Cell_1487,Cell,2873,1124,3,3,0.201219512195122,Singlet,Singlet,0.201219512195122,Singlet,Singlet
Cell_1488,Cell,6394,1648,5,5,0.36890243902439,Doublet,Doublet,0.36890243902439,Doublet,Doublet
Cell_1489,Cell,3078,1156,1,1,0.185975609756098,Singlet,Singlet,0.185975609756098,Singlet,Singlet
Cell_1490,Cell,2018,894,0,0,0.195121951219512,Singlet,Singlet,0.195121951219512,Singlet,Singlet
Cell_1491,Cell,1179,637,3,3,0.0853658536585366,Singlet,Singlet,0.0853658536585366,Singlet,Singlet
Cell_1492,Cell,1654,853,7,7,0.265243902439024,Singlet,Singlet,0.265243902439024,Singlet,Singlet
Cell_1493,Cell,1417,693,2,2,0.13109756097561,Singlet,Singlet,0.13109756097561,Singlet,Singlet
Cell_1494,Cell,1368,762,3,3,0.192073170731707,Singlet,Singlet,0.192073170731707,Singlet,Singlet
Cell_1495,Cell,2828,1064,0,0,0.271341463414634,Singlet,Singlet,0.271341463414634,Singlet,Singlet
Cell_1496,Cell,2263,909,2,2,0.152439024390244,Singlet,Singlet,0.152439024390244,Singlet,Singlet
Cell_1497,Cell,5057,1430,5,5,0.268292682926829,Singlet,Singlet,0.268292682926829,Singlet,Singlet
Cell_1498,Cell,450,328,6,6,0.00609756097560976,Singlet,Singlet,0.00609756097560976,Singlet,Singlet
Cell_1499,Cell,1772,794,0,0,0.106707317073171,Singlet,Singlet,0.106707317073171,Singlet,Singlet
Cell_1500,Cell,919,579,6,6,0.0548780487804878,Singlet,Singlet,0.0548780487804878,Singlet,Singlet
Cell_1501,Cell,867,504,9,9,0.100609756097561,Singlet,Singlet,0.100609756097561,Singlet,Singlet
Cell_1502,Cell,2398,955,2,2,0.231707317073171,Singlet,Singlet,0.231707317073171,Singlet,Singlet
Cell_1503,Cell,2596,1069,1,1,0.149390243902439,Singlet,Singlet,0.149390243902439,Singlet,Singlet
Cell_1504,Cell,2999,1148,0,0,0.359756097560976,Doublet,Doublet,0.359756097560976,Singlet,Singlet
Cell_1505,Cell,396,302,4,4,0.0182926829268293,Singlet,Singlet,0.0182926829268293,Singlet,Singlet
Cell_1506,Cell,1964,879,0,0,0.149390243902439,Singlet,Singlet,0.149390243902439,Singlet,Singlet
Cell_1507,Cell,1368,731,0,0,0.121951219512195,Singlet,Singlet,0.121951219512195,Singlet,Singlet
Cell_1508,Cell,2488,1028,1,1,0.13109756097561,Singlet,Singlet,0.13109756097561,Singlet,Singlet
Cell_1509,Cell,2632,1113,3,3,0.280487804878049,Singlet,Singlet,0.280487804878049,Singlet,Singlet
Cell_1510,Cell,3047,1106,0,0,0.292682926829268,Singlet,Singlet,0.292682926829268,Singlet,Singlet
Cell_1511,Cell,2419,954,3,3,0.121951219512195,Singlet,Singlet,0.121951219512195,Singlet,Singlet
